case_id,court_id,judge_id,case_type_id,filing_date,resolution_date,case_status,duration_days,hearings_count
1,20,85,5,2025-02-07,2025-07-06,Resolved,149.0,3
2,23,49,1,2021-05-22,2021-12-25,Archived,217.0,5
3,18,94,5,2023-12-27,,Pending,,2
4,6,59,2,2021-09-20,,Pending,,7
5,48,62,4,2024-01-31,2024-04-16,Resolved,76.0,3
6,19,11,3,2023-12-17,,Pending,,4
7,16,27,4,2023-05-17,2023-08-07,Archived,82.0,1
8,25,10,1,2024-01-10,,Pending,,2
9,6,90,5,2024-11-13,2025-03-16,Resolved,123.0,5
10,4,50,3,2022-10-01,2023-03-12,Resolved,162.0,2
11,27,47,2,2024-10-07,2024-12-27,Resolved,81.0,6
12,8,5,5,2023-06-17,,Pending,,3
13,44,53,1,2023-07-14,2024-03-16,Resolved,246.0,3
14,30,24,3,2022-04-06,2022-09-27,Resolved,174.0,4
15,36,59,1,2021-02-13,2021-05-16,Resolved,92.0,6
16,31,38,1,2022-04-17,2022-08-23,Resolved,128.0,3
17,42,56,1,2021-01-15,2021-06-11,Resolved,147.0,1
18,17,23,4,2024-07-16,2024-12-02,Resolved,139.0,4
19,11,67,2,2021-05-19,2021-12-25,Archived,220.0,5
20,17,10,3,2025-10-27,2026-05-13,Resolved,198.0,2
21,10,49,3,2023-11-19,2024-06-04,Resolved,198.0,3
22,49,46,3,2024-10-02,2024-10-09,Resolved,7.0,4
23,21,35,4,2024-01-10,2024-04-10,Resolved,91.0,3
24,44,88,5,2025-12-13,2026-05-12,Resolved,150.0,5
25,50,83,5,2023-08-27,2024-02-20,Resolved,177.0,6
26,12,23,5,2023-08-27,,Pending,,2
27,6,18,4,2022-01-25,2022-04-30,Resolved,95.0,5
28,46,44,5,2024-09-11,2025-02-05,Resolved,147.0,2
29,24,71,1,2023-05-18,2023-09-02,Resolved,107.0,4
30,29,41,3,2025-11-05,,Pending,,2
31,35,17,2,2024-10-11,,Pending,,5
32,12,6,4,2024-08-16,2025-01-03,Resolved,140.0,6
33,47,51,5,2023-04-05,,Pending,,6
34,46,78,1,2025-06-28,,Pending,,2
35,27,83,5,2022-05-25,2022-11-29,Resolved,188.0,1
36,44,56,3,2024-01-04,2024-04-15,Resolved,102.0,2
37,9,48,3,2023-05-15,2023-08-14,Resolved,91.0,2
38,44,71,4,2023-08-06,2023-10-01,Resolved,56.0,5
39,21,5,3,2021-06-04,2021-10-14,Resolved,132.0,1
40,48,84,4,2025-10-31,,Pending,,4
41,29,3,5,2021-07-20,2022-01-03,Resolved,167.0,6
42,13,32,1,2024-01-13,,Pending,,2
43,43,26,2,2021-07-11,2021-10-17,Archived,98.0,9
44,15,46,3,2025-10-05,2026-03-15,Resolved,161.0,9
45,24,31,4,2023-04-13,2023-07-27,Resolved,105.0,2
46,17,39,2,2022-03-14,,Pending,,5
47,35,38,3,2021-05-01,2021-05-25,Resolved,24.0,2
48,47,8,1,2021-01-05,2021-06-13,Archived,159.0,2
49,29,41,4,2022-06-28,2023-02-12,Archived,229.0,4
50,22,77,4,2025-05-27,2025-05-28,Resolved,1.0,5
51,21,60,5,2023-05-17,,Pending,,6
52,42,61,2,2025-02-05,2025-04-02,Archived,56.0,6
53,8,81,2,2024-02-13,,Pending,,4
54,19,37,4,2023-09-24,2024-04-06,Resolved,195.0,5
55,35,24,3,2022-08-31,2023-03-18,Resolved,199.0,1
56,12,79,1,2021-04-30,2021-08-13,Resolved,105.0,3
57,30,48,5,2024-01-16,2024-01-17,Resolved,1.0,8
58,45,28,1,2022-10-05,2023-03-31,Resolved,177.0,4
59,4,13,2,2024-04-11,2024-09-02,Resolved,144.0,2
60,23,36,5,2025-10-13,2026-01-24,Resolved,103.0,1
61,31,40,2,2021-04-27,2021-09-21,Archived,147.0,4
62,11,99,4,2021-06-14,,Pending,,3
63,39,12,1,2021-05-21,2021-08-28,Resolved,99.0,1
64,23,42,2,2024-10-14,,Pending,,3
65,49,45,2,2023-04-07,2023-06-10,Resolved,64.0,7
66,38,80,5,2025-12-29,2026-04-15,Resolved,107.0,5
67,43,18,1,2024-03-31,2024-07-22,Resolved,113.0,5
68,15,97,2,2024-06-22,2024-08-24,Resolved,63.0,1
69,23,46,1,2024-09-08,2025-01-01,Resolved,115.0,4
70,7,31,1,2023-12-07,2024-03-04,Resolved,88.0,5
71,2,67,5,2022-06-19,2022-10-19,Resolved,122.0,5
72,36,49,5,2025-01-06,2025-03-20,Resolved,73.0,1
73,5,72,1,2022-06-28,2022-12-22,Resolved,177.0,3
74,1,36,1,2024-10-07,2025-04-06,Resolved,181.0,1
75,8,37,1,2023-07-26,2023-10-18,Resolved,84.0,6
76,45,80,4,2025-03-20,2025-06-18,Archived,90.0,2
77,32,57,3,2021-01-20,2021-03-31,Resolved,70.0,2
78,3,2,2,2024-02-28,2024-07-13,Archived,136.0,5
79,34,65,1,2021-05-31,2021-11-16,Resolved,169.0,4
80,33,32,1,2023-11-03,2024-02-25,Resolved,114.0,4
81,21,71,1,2022-12-16,,Pending,,5
82,3,58,3,2025-12-06,2026-03-11,Resolved,95.0,2
83,25,52,3,2022-08-07,2023-01-08,Resolved,154.0,6
84,32,2,1,2025-09-04,2025-12-27,Resolved,114.0,4
85,16,23,4,2022-09-12,2023-01-05,Resolved,115.0,5
86,43,98,5,2025-07-11,,Pending,,1
87,12,16,4,2021-01-17,,Pending,,2
88,25,94,3,2024-02-10,2024-03-09,Resolved,28.0,1
89,34,33,2,2024-09-20,2025-01-31,Resolved,133.0,6
90,43,3,2,2025-12-04,2026-04-08,Resolved,125.0,3
91,24,70,1,2021-08-25,,Pending,,3
92,24,11,4,2025-03-01,2025-07-04,Resolved,125.0,3
93,47,57,2,2022-07-12,2022-11-12,Resolved,123.0,3
94,50,86,4,2022-03-08,,Pending,,6
95,15,48,2,2022-02-21,,Pending,,5
96,20,10,2,2025-10-13,2026-01-24,Resolved,103.0,8
